year,kind,severity,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
2002,rate,moderate,0.0204358180909,0.00105553547542,0.0109482384949,0.0220492398238,0.0059401518551,0.0206466909181,0.00697506657814,0.00957277807306,0.00340419435497,0.00174856460596,0.000511556347891,0.0108211271889,0.00174181712593,0.0100154893056,0.0219223724783,0.00783497746913,0.0181308046274,0.0109813922068,0.0162532543702,0.000470480448507,0.0059181319702,0.0098751277052
2002,rate,moderate_to_severe,0.0129079513742,0.000726706963432,0.00526214739614,0.0115525649077,0.00283409163693,0.0119252521981,0.00365146724121,0.00464135390542,0.0015782781989,0.000808477964695,0.000211898812864,0.00557632664775,0.000508025405188,0.00524745785761,0.0120237097506,0.00374995402814,0.0098030405427,0.00585712137328,0.00886875252075,0.000179334871389,0.00282850074173,0.00527344830184
2002,rate,severe,0.00785302466382,0.000488079003082,0.0024261224839,0.00573703504699,0.00127997633786,0.00676332898722,0.00188731651147,0.0021637310631,0.000719890123597,0.000384814033531,7.58622976294e-05,0.00277142613927,0.000121841646815,0.00268034346038,0.0064433762768,0.00171653847356,0.00519412914196,0.00314945638492,0.00476837045169,5.61792135186e-05,0.00123891026119,0.00275808342868
2002,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2003,rate,light,0.0714139756917,0.00398882724608,0.0807281559086,0.109054167877,0.0446243647347,0.0876795526481,0.0413512620549,0.0712580561875,0.0398654784334,0.0207398225767,0.00960216756372,0.0673216995578,0.0295253224004,0.0599439445124,0.10428376802,0.0756679292071,0.0914215588166,0.0735821373084,0.081734794472,0.00785858534112,0.043095509784,0.0578448133496
2003,rate,light_to_moderate,0.0322222386101,0.00198820049375,0.0241328506277,0.0421592399359,0.0140932455167,0.0359431354163,0.0136483413775,0.0216515931518,0.00975740473121,0.00568187402245,0.00207072511067,0.0230535819816,0.00618928391017,0.0209140685041,0.0410217259392,0.01817464548,0.0349548207725,0.0245852811336,0.0311919473388,0.00209086535508,0.0145500390333,0.0200035765925
2003,rate,moderate,0.01835067379,0.00125200978002,0.0100470934534,0.0208676586459,0.0062653174856,0.0191951685016,0.0063230312931,0.00916219408312,0.00352499757425,0.00234827537398,0.00079425103515,0.0107029848968,0.00180959169811,0.0098961085667,0.0208251948386,0.00712571443335,0.017350213133,0.0115965584447,0.0155031695508,0.000941277476545,0.00670696931295,0.00955183111275
2003,rate,moderate_to_severe,0.0109482579656,0.000819471861816,0.00467066056673,0.0109435912521,0.00301391998417,0.011053523332,0.00321813535036,0.00432121869785,0.00131320409717,0.00110329907314,0.00032436141523,0.00539575504918,0.000556602929227,0.00505279281547,0.0112525667231,0.00319263064441,0.00919105123957,0.00606403801662,0.00832468655246,0.000449258351306,0.0032853731352,0.00497592376442
2003,rate,severe,0.00631445689633,0.000562188239249,0.00214992297933,0.00546474282793,0.00137697414863,0.00621470385996,0.0016574862366,0.00202392823714,0.000515695251097,0.000504202719967,0.000142996013061,0.00262286779044,0.000142566941812,0.00251018179436,0.00590775541628,0.00141844239363,0.00473649033793,0.0031840083427,0.00442406240223,0.000209576258001,0.0015256309816,0.00255280381277
2003,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2004,rate,light,0.0704012359639,0.00214796533958,0.0702637869357,0.10826250951,0.0390523582716,0.0783421875187,0.0365279172969,0.0604963083275,0.0281647170186,0.0160113901065,0.00600129668606,0.0559578191883,0.0244715375899,0.0515667738585,0.0928633661374,0.0662918833354,0.0791318937763,0.053615744452,0.0727563353516,0.00533073614322,0.0352930155146,0.0501405132534
2004,rate,light_to_moderate,0.0307186098278,0.000783640386526,0.0206025889621,0.0405940312544,0.0115901686965,0.0299421628252,0.0113078965082,0.0182019001654,0.00607015761981,0.00435736661723,0.000833228890666,0.0182781476646,0.00464286010832,0.0169528068441,0.0335348426743,0.0157509241569,0.0277193049414,0.0163490852712,0.0256032934272,0.00132787958905,0.0108728846031,0.0164777990969
2004,rate,moderate,0.0173563682001,0.000384253239394,0.00878550004912,0.0193339126165,0.00494377951319,0.0151496753626,0.00503193770896,0.00778343852139,0.00223642840015,0.00176835270234,0.000232426142193,0.0083387263353,0.00126490096062,0.00784142043927,0.0158915904419,0.00647785778607,0.012956922205,0.00736988153259,0.0120009563624,0.000546412084925,0.00480874418663,0.00764302308527
2004,rate,moderate_to_severe,0.0104976337529,0.000203933001701,0.00411525898297,0.00965353123082,0.00230287650966,0.00824423541723,0.00248591944605,0.0036310165514,0.000948393387092,0.000816659209242,0.000106883030076,0.00417126963968,0.00036709591368,0.00396253424522,0.00813996980079,0.0030624500309,0.00659296253171,0.00372007453166,0.00604208390016,0.000236913938395,0.0023127250474,0.00388640095708
2004,rate,severe,0.00619499988424,0.000115029486719,0.00187561234401,0.00453813484458,0.00100794489808,0.00441606970405,0.00118975411593,0.00165638338357,0.000386111609077,0.000371061796443,4.86884157701e-05,0.0020327814795,9.37745794072e-05,0.00195477505958,0.0041539271205,0.00142024599432,0.00330683340962,0.00189170999487,0.00294200017489,8.99374840075e-05,0.00104771698842,0.00193969013179
2004,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2928
2005,rate,light,0.0591164845449,0.00137349645105,0.0731137895972,0.0970363837675,0.0371520692031,0.0685317308572,0.038093558871,0.0628621965775,0.0238695511389,0.0156545896462,0.00559712314954,0.0542044731353,0.0234403934129,0.049905003492,0.0831337609694,0.0655755557388,0.0729515098725,0.053607031834,0.0666191968239,0.00403092776454,0.0334608503514,0.0471109370095
2005,rate,light_to_moderate,0.0271724849004,0.000639738685704,0.0227815398982,0.0360679725622,0.011387205521,0.0270865171832,0.0123942663079,0.0196198804131,0.00559594075135,0.00400990446936,0.000701428874993,0.0176316711512,0.00465178490949,0.0163052138294,0.0313758677308,0.0173991691369,0.0271760099434,0.0177327917121,0.0240780201637,0.000764523826252,0.0105916356053,0.0159601698846
2005,rate,moderate,0.016159734603,0.00042233840199,0.0101375356192,0.0173121757401,0.00509348754403,0.0144999064046,0.00581152945532,0.00865806426719,0.00218409589482,0.00159100659475,0.000153150661743,0.00807723754998,0.00133940386499,0.00753339723939,0.0160704066604,0.00745944466815,0.0136303792053,0.00835146897876,0.0118359499065,0.000243895173353,0.00480869563479,0.00768444305088
2005,rate,moderate_to_severe,0.0101773711139,0.000284591919024,0.00488184088622,0.0089228560117,0.0024718225615,0.00845975372983,0.00302758379604,0.00417149780127,0.000992747300926,0.00072001801859,4.26750528609e-05,0.00405886503888,0.000410610514324,0.00384114891961,0.00886059502468,0.00357712032506,0.0073696101295,0.00435387060065,0.00631049166986,8.40715632136e-05,0.00236714978375,0.0040660138934
2005,rate,severe,0.00621574943157,0.000195958509872,0.00227552834247,0.00437424676627,0.00112100567915,0.00476714006551,0.00153365784896,0.00194673919532,0.000432378667139,0.000327272652776,1.67976595487e-05,0.00198497557631,0.000112089036377,0.00192483553159,0.00477146528396,0.00167283497054,0.00389520163937,0.00227501590357,0.00332718667446,2.99940526095e-05,0.00108583183384,0.00210885263434
2005,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2006,rate,light,0.0631075555361,0.00217876981829,0.0715904557675,0.103068100897,0.0386609891661,0.0819429858039,0.0381448108849,0.0624713659431,0.033816279153,0.016336652032,0.00791666092151,0.0571175164479,0.026467954163,0.0522263449147,0.0949530862573,0.0655579795481,0.0819536937656,0.0621716137668,0.0741481145851,0.00567937700473,0.0358139361465,0.0512059163106
2006,rate,light_to_moderate,0.028506861561,0.00101038333913,0.0228496065376,0.0384326994099,0.011949247516,0.0333656167293,0.0127143147091,0.0203691661283,0.00792083222231,0.00440729681409,0.00110492477071,0.0188296734788,0.00546735374663,0.0175168821378,0.0369215916742,0.0164015981114,0.0315295079802,0.0212219156134,0.0281609004045,0.00112149896452,0.0116620720613,0.0176887592338
2006,rate,moderate,0.0170006240161,0.000631510206633,0.0103868844143,0.0181607318296,0.00526487696154,0.0180248663209,0.00604189707139,0.00919767836504,0.00329780653533,0.00184383864262,0.000225260981319,0.00860326216705,0.00158171838806,0.0081250166254,0.0191119226703,0.00704773574733,0.0161056085131,0.0102638431127,0.0140827420737,0.000394024035648,0.0053196766763,0.00860531073116
2006,rate,moderate_to_severe,0.0106765509693,0.00040224800916,0.00509109396644,0.00907344386658,0.00254186385559,0.0106394555758,0.0030876752547,0.00447518866167,0.00163287056902,0.000882032994508,6.09026665933e-05,0.00427230219554,0.000463344501715,0.00411851565607,0.0106954598291,0.00340942646834,0.0088822466058,0.00549417829902,0.00753758657757,0.000144534920406,0.0026454610551,0.00458220869038
2006,rate,severe,0.00647120945484,0.000265122113063,0.00240746876427,0.0043190626911,0.00116576058822,0.00612758302974,0.00156896836629,0.00210291650776,0.000829941952612,0.000413825771269,2.07428718301e-05,0.00204287890426,0.000116611297135,0.00201749529674,0.00580677910781,0.00161497143903,0.00478708568164,0.00294570711048,0.00391120474776,4.57882444859e-05,0.00122603376443,0.00239081703356
2006,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2007,rate,light,0.0674768363406,0.00117752307508,0.077154778671,0.109036938065,0.0419369236847,0.0810769679806,0.0375219490308,0.0675881148633,0.0335871417774,0.0156252028582,0.00536661463393,0.0618573623374,0.0286499355808,0.0561180401448,0.0973040893005,0.0707911672179,0.0851586126206,0.0629979458481,0.0771747415586,0.00420469668138,0.0371529509184,0.0532837396757
2007,rate,light_to_moderate,0.0313926771288,0.000563440323757,0.0230879103554,0.0426865782772,0.0130319603409,0.0326145315994,0.0115592696819,0.0202261556018,0.00943926899799,0.00370949265489,0.000619603352668,0.0205322197658,0.00617930163698,0.0190912063339,0.0373518532835,0.0174708066603,0.03139033023,0.0197351253065,0.0285046146411,0.000699027247456,0.0114469778245,0.0181586833926
2007,rate,moderate,0.0188298284194,0.000380555440222,0.00966420678859,0.0209198610694,0.00584204455696,0.0171139852366,0.00520822154771,0.00841663555803,0.00406841856861,0.00142872594107,0.000127615819537,0.00934957862251,0.00186913534559,0.00891949289903,0.018411549481,0.00717462585626,0.0152599969004,0.00880232467368,0.0138864678167,0.000205508168221,0.00495853160872,0.00861130049135
2007,rate,moderate_to_severe,0.0117770063087,0.000280747275454,0.00436724489165,0.0106888908188,0.00285926968027,0.00963096293845,0.00263043326022,0.00384053540954,0.0016879865716,0.000642386846548,3.92749230831e-05,0.00462023074758,0.000569505303222,0.00450824078968,0.00977129536759,0.00328311386804,0.00806998709411,0.00438553288639,0.00734405777064,7.45860824956e-05,0.002298102224,0.00444616147896
2007,rate,severe,0.00708588529632,0.000208456240302,0.0019040286806,0.00517307765309,0.00132481357154,0.00531182554759,0.00129893130315,0.00172163597986,0.000540924408577,0.00028595106174,1.72356899422e-05,0.00221561722891,0.000135543172185,0.00219287413308,0.00514529340038,0.00146736875531,0.00422150985721,0.00212457570839,0.00384389347175,3.30844365355e-05,0.000966411960804,0.00224852083606
2007,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
